,job_category,state,average_salary,median_salary,observations,Full_state,hovertext,average_total_cost,median_total_cost,avg_salary_after_COL,median_salary_after_COL
54,data engineer,MI,72604.0,72604.0,1,Michigan,Michigan<br>Average Salary: 72604.0<br>Observations: 1,29075.405493975904,28880.26764,43528.59450602409,43723.73236
55,data scientist,MI,86352.57142857143,95490.0,7,Michigan,Michigan<br>Average Salary: 86352.57<br>Observations: 7,29075.405493975904,28880.26764,57277.16593459553,66609.73236
56,machine learning engineer,MI,67500.0,67500.0,1,Michigan,Michigan<br>Average Salary: 67500.0<br>Observations: 1,29075.405493975904,28880.26764,38424.59450602409,38619.73236
57,data analyst,MO,58750.0,58750.0,2,Missouri,Missouri<br>Average Salary: 58750.0<br>Observations: 2,29289.142573448276,29308.04874,29460.857426551724,29441.95126
58,data engineer,MO,56945.0,53540.0,4,Missouri,Missouri<br>Average Salary: 56945.0<br>Observations: 4,29289.142573448276,29308.04874,27655.857426551724,24231.95126
59,data scientist,MO,100350.16666666667,99191.5,6,Missouri,Missouri<br>Average Salary: 100350.17<br>Observations: 6,29289.142573448276,29308.04874,71061.0240932184,69883.45126
60,data analyst,MS,46739.0,46739.0,1,Mississippi,Mississippi<br>Average Salary: 46739.0<br>Observations: 1,30288.668531707317,30193.70856,16450.331468292683,16545.29144
61,data analyst,NC,103807.33333333333,119600.0,3,North Carolina,North Carolina<br>Average Salary: 103807.33<br>Observations: 3,31281.240148800003,30804.31794,72526.09318453333,88795.68205999999
62,data engineer,NC,108311.84,98363.2,5,North Carolina,North Carolina<br>Average Salary: 108311.84<br>Observations: 5,31281.240148800003,30804.31794,77030.5998512,67558.88206
63,data scientist,NC,105328.14285714286,104000.0,7,North Carolina,North Carolina<br>Average Salary: 105328.14<br>Observations: 7,31281.240148800003,30804.31794,74046.90270834285,73195.68205999999
64,other,NC,61000.0,61000.0,1,North Carolina,North Carolina<br>Average Salary: 61000.0<br>Observations: 1,31281.240148800003,30804.31794,29718.759851199997,30195.68206
65,data analyst,NJ,83221.66666666667,81136.0,3,New Jersey,New Jersey<br>Average Salary: 83221.67<br>Observations: 3,37180.73359428571,36852.71112,46040.93307238096,44283.28888
66,data engineer,NJ,116759.2,124800.0,5,New Jersey,New Jersey<br>Average Salary: 116759.2<br>Observations: 5,37180.73359428571,36852.71112,79578.46640571428,87947.28888000001
67,data scientist,NJ,107344.2,105605.0,10,New Jersey,New Jersey<br>Average Salary: 107344.2<br>Observations: 10,37180.73359428571,36852.71112,70163.46640571428,68752.28888000001
68,machine learning engineer,NJ,114555.33333333333,102406.0,3,New Jersey,New Jersey<br>Average Salary: 114555.33<br>Observations: 3,37180.73359428571,36852.71112,77374.59973904761,65553.28888000001
69,data analyst,NV,69078.0,69078.0,1,Nevada,Nevada<br>Average Salary: 69078.0<br>Observations: 1,32632.759588235298,32811.408480000006,36445.2404117647,36266.591519999994
70,data scientist,NV,130522.0,130522.0,1,Nevada,Nevada<br>Average Salary: 130522.0<br>Observations: 1,32632.759588235298,32811.408480000006,97889.24041176471,97710.59151999999
71,data analyst,NY,77442.36363636363,74230.5,22,New York,New York<br>Average Salary: 77442.36<br>Observations: 22,34069.46999806452,31871.740919999997,43372.893638299116,42358.75908
72,data engineer,NY,114749.96,109200.0,5,New York,New York<br>Average Salary: 114749.96<br>Observations: 5,34069.46999806452,31871.740919999997,80680.49000193548,77328.25908
73,data scientist,NY,136376.3448275862,126425.0,29,New York,New York<br>Average Salary: 136376.34<br>Observations: 29,34069.46999806452,31871.740919999997,102306.8748295217,94553.25908
74,machine learning engineer,NY,119588.3125,126495.0,16,New York,New York<br>Average Salary: 119588.31<br>Observations: 16,34069.46999806452,31871.740919999997,85518.84250193549,94623.25908
75,other,NY,150023.2857142857,140000.0,7,New York,New York<br>Average Salary: 150023.29<br>Observations: 7,34069.46999806452,31871.740919999997,115953.8157162212,108128.25908
76,data analyst,OH,77515.0,72374.0,5,Ohio,Ohio<br>Average Salary: 77515.0<br>Observations: 5,28459.305706363637,28441.455240000003,49055.69429363636,43932.54476
77,data scientist,OH,76350.66666666667,67500.0,3,Ohio,Ohio<br>Average Salary: 76350.67<br>Observations: 3,28459.305706363637,28441.455240000003,47891.360960303035,39058.54476
78,other,OH,100481.0,100481.0,1,Ohio,Ohio<br>Average Salary: 100481.0<br>Observations: 1,28459.305706363637,28441.455240000003,72021.69429363636,72039.54475999999
